gamma,lam,vf_coef,ent_coef,final_mean_reward,num_episodes,final_policy_loss,final_value_loss
0.95,0.97,0.5,0.1,-258.0284962994225,65,-0.1153792291879654,47.346893310546875
0.95,0.97,0.9,0.001,-259.65074730525663,64,-0.36924946308135986,141.39964294433594
0.95,0.97,0.9,0.01,-270.3723145886246,64,-0.2149115800857544,85.0057144165039
0.95,0.97,0.9,0.1,-241.9550316571836,65,-0.1972690373659134,52.54045867919922
0.95,0.99,0.1,0.001,-249.31910172618296,64,0.12102574855089188,177.40040588378906
0.95,0.99,0.1,0.01,-262.90089113188753,64,0.11413674056529999,144.03549194335938
0.95,0.99,0.1,0.1,-244.80176776455474,64,-0.0968223288655281,77.16728210449219
0.95,0.99,0.5,0.001,-255.41515593127824,63,-0.22952882945537567,101.80135345458984
0.95,0.99,0.5,0.01,-255.5884743140133,65,0.23686423897743225,91.40628814697266
0.95,0.99,0.5,0.1,-247.79047824373097,64,-0.11695490777492523,93.23500061035156
0.95,0.99,0.9,0.001,-250.35687645270923,64,0.006102040410041809,65.71842956542969
0.95,0.99,0.9,0.01,-272.6785264310427,65,-0.026067301630973816,329.8315124511719
0.95,0.99,0.9,0.1,-251.6950174253725,64,-0.39387285709381104,108.08596801757812
0.97,0.91,0.1,0.001,-235.6432859505195,64,-0.23198199272155762,23.38274383544922
0.97,0.91,0.1,0.01,-242.13825161581107,65,-0.5422754883766174,109.79731750488281
0.97,0.91,0.1,0.1,-252.76905164315733,64,-0.10522797703742981,105.89000701904297
0.97,0.91,0.5,0.001,-250.92742080049482,64,0.18750479817390442,191.29026794433594
0.97,0.91,0.5,0.01,-259.78148825867,64,-0.07474982738494873,67.43045043945312
0.97,0.91,0.5,0.1,-248.43480776367562,64,0.00464726984500885,104.38526916503906
0.97,0.91,0.9,0.001,-239.87262294610693,65,0.05516825616359711,47.02295684814453
0.97,0.91,0.9,0.01,-257.3154978656775,64,-0.10881415009498596,50.53998565673828
0.97,0.91,0.9,0.1,-238.916490073701,65,-0.18552227318286896,52.34505844116211
0.97,0.95,0.1,0.001,-245.96882102021024,65,-0.1934782713651657,208.61839294433594
0.97,0.95,0.1,0.01,-254.3027236685158,65,0.34325340390205383,83.2491455078125
0.97,0.95,0.1,0.1,-255.75701037144623,64,-0.1678740531206131,83.99421691894531
0.97,0.95,0.5,0.001,-248.59633704931116,64,-0.06043408811092377,132.16921997070312
0.97,0.95,0.5,0.01,-257.3994561507674,64,-0.0631602481007576,143.5049591064453
0.97,0.95,0.5,0.1,-252.95578483709625,64,-0.19148659706115723,71.12869262695312
0.97,0.95,0.9,0.001,-280.43448719648006,64,0.3748723566532135,26.797130584716797
0.97,0.95,0.9,0.01,-252.93339200431836,64,-0.1877446174621582,175.48147583007812
0.97,0.95,0.9,0.1,-252.18527339579214,65,0.1893349587917328,126.90530395507812
0.97,0.97,0.1,0.001,-252.05186442859355,65,-0.024925678968429565,63.56706619262695
0.97,0.97,0.1,0.01,-286.5637132208504,62,0.012434292584657669,43.681758880615234
0.97,0.97,0.1,0.1,-248.82457497030214,64,-0.32234805822372437,43.20809555053711
0.97,0.97,0.5,0.001,-254.91336355825476,64,0.024964967742562294,121.2203369140625
0.97,0.97,0.5,0.01,-287.8160195597278,63,0.10316058993339539,82.95455932617188
0.97,0.97,0.5,0.1,-262.59132035302645,65,0.003041408956050873,105.65205383300781
0.97,0.97,0.9,0.001,-251.545379260303,64,-0.16734501719474792,47.0361213684082
0.97,0.97,0.9,0.01,-270.7893245734451,63,0.09528563916683197,45.849178314208984
0.97,0.97,0.9,0.1,-270.6919214129555,64,0.29347139596939087,318.8984069824219
0.97,0.99,0.1,0.001,-253.88122924299245,65,0.10210543870925903,204.7344970703125
0.97,0.99,0.1,0.01,-263.0939404006383,64,0.0797187089920044,183.75640869140625
0.97,0.99,0.1,0.1,-252.56588351664934,64,-0.1443340927362442,52.06330108642578
0.97,0.99,0.5,0.001,-245.3118535992863,65,-0.24903085827827454,85.43384552001953
0.97,0.99,0.5,0.01,-257.2222048069574,64,0.106849804520607,254.01763916015625
0.97,0.99,0.5,0.1,-284.58574550442887,63,-0.056878723204135895,124.29673767089844
0.97,0.99,0.9,0.001,-243.3257479784618,65,0.12362627685070038,79.86414337158203
0.97,0.99,0.9,0.01,-251.54858540566428,65,-0.10016852617263794,62.289390563964844
0.97,0.99,0.9,0.1,-260.92737276435315,64,0.3837532699108124,213.16714477539062
0.99,0.91,0.1,0.001,-244.94615811852844,65,0.3057928681373596,63.34673309326172
0.99,0.91,0.1,0.01,-255.80948344429552,64,0.24650807678699493,80.44682312011719
0.99,0.91,0.1,0.1,-243.8799421445998,65,0.48972228169441223,252.08847045898438
0.99,0.91,0.5,0.001,-254.79721174705162,64,0.13759100437164307,148.7564239501953
0.99,0.91,0.5,0.01,-250.41018153001008,65,0.09126006811857224,132.97564697265625
0.99,0.91,0.5,0.1,-251.66125848369026,64,0.37046435475349426,324.612548828125
0.99,0.91,0.9,0.001,-253.6876884914253,65,-0.0008908193558454514,135.35769653320312
0.99,0.91,0.9,0.01,-246.83024888871546,65,0.2977260947227478,150.92910766601562
0.99,0.91,0.9,0.1,-267.7749963614586,64,-0.13425301015377045,600.5914916992188
0.99,0.95,0.1,0.001,-259.1492202309981,65,0.05868758633732796,105.069091796875
0.99,0.95,0.1,0.01,-253.5291250514517,64,-0.2631698548793793,182.8551788330078
0.99,0.95,0.1,0.1,-266.9189397186294,63,0.05012788996100426,121.02482604980469
0.99,0.95,0.5,0.001,-270.9154517828228,64,0.05178716778755188,130.18484497070312
0.99,0.95,0.5,0.01,-274.5556780643517,64,-0.4012991189956665,348.05474853515625
0.99,0.95,0.5,0.1,-251.27712402990005,64,0.23273147642612457,205.91641235351562
0.99,0.95,0.9,0.001,-267.8171063552839,64,-0.16458451747894287,181.97567749023438
0.99,0.95,0.9,0.01,-260.74481539271073,64,0.1877308189868927,31.633344650268555
0.99,0.95,0.9,0.1,-249.47214920582624,65,-0.0732264518737793,114.33968353271484
0.99,0.97,0.1,0.001,-291.72265210188556,62,-0.0962642952799797,225.0886993408203
0.99,0.97,0.1,0.01,-261.5706639684506,64,0.3734821081161499,296.9541320800781
0.99,0.97,0.1,0.1,-284.2460004143272,63,-0.003854844719171524,89.49319458007812
0.99,0.97,0.5,0.001,-301.2759826460466,63,-0.1441480964422226,203.16172790527344
0.99,0.97,0.5,0.01,-286.91160937180763,64,-0.12619534134864807,294.7679748535156
0.99,0.97,0.5,0.1,-263.8347515857802,64,0.40566712617874146,1281.0184326171875
0.99,0.97,0.9,0.001,-250.30399202963298,65,-0.4194522798061371,76.04086303710938
0.99,0.97,0.9,0.01,-273.18246944000754,63,-0.5225093960762024,295.478515625
0.99,0.97,0.9,0.1,-261.0534840677701,63,-0.038097843527793884,222.3585662841797
0.99,0.99,0.1,0.001,-254.56376976737604,64,-0.04607617110013962,592.0342407226562
0.99,0.99,0.1,0.01,-257.3093829641357,65,0.004072694107890129,57.11561965942383
0.99,0.99,0.1,0.1,-262.276901565926,65,-0.06837713718414307,77.39509582519531
0.99,0.99,0.5,0.001,-283.37529591222255,64,0.31595104932785034,327.5765075683594
0.99,0.99,0.5,0.01,-290.3836756133713,63,-0.17900416254997253,262.7710266113281
0.99,0.99,0.5,0.1,-244.42869205735937,64,-0.06275087594985962,254.79043579101562
0.99,0.99,0.9,0.001,-265.6551307577991,63,0.07875075191259384,237.83560180664062
0.99,0.99,0.9,0.01,-257.0142451461417,64,0.30688971281051636,130.0281524658203
0.99,0.99,0.9,0.1,-251.6742423500892,64,0.06539155542850494,157.61578369140625
